"city", "state", "population"
"Lufkin ","TX",3453
"Marysville ","WA",34482
"Marana","AZ",34466
"Beverly Hills ","CA",34445
"Columbia ","TN",34402
"La Porte ","TX",34274
"Wildwood ","MO",34195
"Woodridge","IL",3413
"Holland ","MI",34076
"Friendswood ","TX",33979
"San Juan ","TX",3397
"Northbrook","IL",33936
"Hilton Head Island","SC",33913
"Stow ","OH",33899
"Gahanna ","OH",33892
"Bay City ","MI",33874
"Grove City ","OH",33829
"Pleasant Grove ","UT",33798
"Seaside ","CA",33797
"Delaware ","OH",33719
"Mundelein","IL",33717
"Northglenn ","CO",33697
"Rome ","NY",33673
"Reynoldsburg ","OH",33657
"Dalton ","GA",33648
"La Verne ","CA",33623
"Cottage Grove ","MN",33623
"Rosenberg ","TX",33595
"East Palo Alto ","CA",33575
"Lynnwood ","WA",33572
"Jackson ","MI",33518
"Oak Creek ","WI",33482
"Twentynine Palms ","CA",3348
"Shakopee ","MN",33455
"Pekin ","IL",3343
"Inver Grove Heights ","MN",33383
"Weslaco ","TX",33354
"Winter Haven ","FL",33353
"Elk Grove Village","IL",3332
"Grants Pass ","OR",33217
"Manitowoc ","WI",33169
"Apex","NC",33075
"Merrillville","IN",33057
"New Iberia ","LA",32959
"Petersburg ","VA",32916
"Richmond ","KY",32895
"Pleasant Hill ","CA",32862
"St. Charles ","IL",32829
"Marion ","IA",32821
"Roseville ","MN",32815
"Apache Junction ","AZ",32776
"Plant City ","FL",32761
"Richfield ","MN",32728
"Englewood ","CO",32669
"Winter Springs ","FL",32667
"Beaumont ","CA",32663
"Goshen ","IN",3263
"Long Branch ","NJ",32622
"Massillon ","OH",32613
"North Chicago ","IL",32608
"Oviedo ","FL",32606
"Bettendorf ","IA",32584
"Monroe ","NC",32543
"Houma ","LA",32512
"Eastpointe ","MI",32497
"Prattville ","AL",3248
"Michigan City ","IN",32405
"Fairborn ","OH",32366
"Watertown ","MA",32365
"Clovis ","NM",32352
"Bothell ","WA",32307
"Ocoee ","FL",3229
"Danville ","IL",32248
"Nacogdoches ","TX",32205
"Greenacres ","FL",32174
"Franklin ","MA",32148
"Butte-Silver Bow","MT",32119
"Hopkinsville ","KY",32076
"Oakley ","CA",32035
"Socorro ","TX",32007
"Naugatuck","CT",31931
"Upper Arlington ","OH",31878
"Glendale Heights","IL",31847
"Norristown","PA",31843
"Laguna Hills ","CA",31838
"Olive Branch ","MS",3183
"Lewiston ","ID",31764
"Bangor ","ME",31756
"Kennesaw ","GA",31628
"Parkersburg ","WV",31611
"Florence ","SC",3157
"Bethel Park","PA",31562
"Spanish Fork ","UT",31538
"Mount Vernon ","WA",31513
"Oswego","IL",31504
"Highland Park ","IL",31449
"Oregon City ","OR",31404
"Brighton ","CO",3138
"Jacksonville ","AR",31351
"Lawndale ","CA",31346
"Leawood ","KS",31342
"North Olmsted ","OH",31319
"Burien ","WA",31316
"North Tonawanda ","NY",31222
"McMinnville ","OR",31185
"Galesburg ","IL",31181
"Phenix City ","AL",31125
"Douglasville ","GA",31035
"Lauderdale Lakes ","FL",31004
"Juneau","AK",30988
"Wheat Ridge ","CO",30894
"Vestavia Hills ","AL",30892
"Deer Park ","TX",3089
"Port Huron ","MI",30869
"West Lafayette ","IN",30847
"Walnut ","CA",30744
"San Pablo ","CA",30729
"Copperas Cove ","TX",3071
"Granite City ","IL",30703
"Schertz ","TX",30669
"Rochester ","NH",30654
"Walla Walla ","WA",30643
"Gurnee","IL",30608
"Myrtle Beach ","SC",30596
"Chicago Heights ","IL",30586
"Liberty ","MO",30568
"Shawnee ","OK",30562
"Oak Park ","MI",30547
"Westlake ","OH",30546
"Fair Lawn","NJ",30521
"Jeffersonville ","IN",30479
"Hobbs ","NM",30476
"Newnan ","GA",30474
"Saratoga ","CA",30445
"Andover ","MN",30442
"Valparaiso ","IN",30429
"Kearney ","NE",30417
"Algonquin","IL",30352
"University Place ","WA",30345
"Royal Palm Beach","FL",30312
"Gloucester ","MA",30243
"Marion ","IN",30212
"Hinesville ","GA",30152
"Tooele ","UT",3012
"Menlo Park ","CA",30087
"Texarkana ","AR",30087
"La Vergne ","TN",30034
"Ballwin ","MO",30033
"East Chicago ","IN",29978
"Wenatchee ","WA",29898
"West Bend ","WI",29894
"Cleburne ","TX",29889
"Newark ","DE",29886
"Burton ","MI",29845
"Ithaca ","NY",29763
"Lake in the Hills","IL",29698
"Mason ","OH",29682
"Poughkeepsie ","NY",29654
"Morgantown ","WV",29642
"Bowling Green ","OH",29542
"Madison Heights ","MI",29531
"Jamestown ","NY",29463
"Williamsport ","PA",29456
"Benton ","AR",29452
"Westfield","NJ",2945
"Aiken ","SC",29434
"Cooper City ","FL",29422
"Goleta ","CA",29404
"Alton ","IL",29393
"Winter Garden ","FL",29385
"Alabaster ","AL",29352
"Helena ","MT",29351
"Gallatin ","TN",29343
"North Royalton ","OH",29331
"Los Gatos","CA",2932
"Sanford ","NC",29284
"Elmira ","NY",29271
"Lawrenceville ","GA",29258
"Aventura ","FL",29254
"Cookeville ","TN",29234
"Englewood ","NJ",29112
"Foster City ","CA",29089
"Cutler Bay","FL",2907
"Salisbury ","NC",28972
"Garfield ","NJ",28971
"Millville ","NJ",2893
"Banning ","CA",28917
"Wheeling ","WV",28913
"Schererville","IN",28886
"Saratoga Springs ","NY",28844
"East St. Louis ","IL",28773
"Des Moines ","WA",28755
"St. Cloud ","FL",28745
"Paso Robles","CA",28715
"Waxahachie ","TX",28668
"Cedar City ","UT",28667
"Niles","IL",28666
"Rahway ","NJ",28624
"Lindenhurst","NY",2862
"Santa Paula ","CA",28618
"Dover ","NH",28609
"New Bern ","NC",28586
"Garden City ","KS",28557
"Adelanto ","CA",28553
"Bessemer ","AL",28542
"Springville ","UT",2852
"Atascadero ","CA",28452
"LaGrange ","GA",28401
"Northampton ","MA",28379
"Los Altos ","CA",28349
"Sun Prairie ","WI",28322
"Gladstone ","MO",28243
"Maywood ","CA",28224
"Salisbury ","MD",282
"Raytown ","MO",28194
"Port Chester","NY",28171
"North Ridgeville ","OH",28153
"Midvale ","UT",28129
"Soledad ","CA",28124
"Newburgh ","NY",28101
"Dania Beach ","FL",28093
"Agawam ","MA",28091
"Harvey ","IL",28056
"Rexburg ","ID",28028
"Kent ","OH",27983
"Henderson ","KY",27933
"Winter Park ","FL",27909
"Hilliard ","OH",27901
"Hobart ","IN",27891
"Round Lake Beach","IL",27855
"Clearfield ","UT",27851
"Plainfield","IN",27832
"Kingman ","AZ",27817
"Monterey ","CA",27763
"Florence ","KY",27745
"Oak Forest ","IL",2774
"Southgate ","MI",27739
"Garfield Heights ","OH",27734
"Burlingame ","CA",27706
"Savage ","MN",27692
"Oak Ridge ","TN",27677
"Laramie ","WY",27664
"Prichard ","AL",27662
"Monroeville","PA",27639
"Morristown ","TN",27636
"Russellville ","AR",27602
"Burbank ","IL",27567
"O'Fallon ","IL",2754
"Batavia ","IL",27502
"Owasso ","OK",27467
"West Springfield ","MA",27459
"Lake Jackson ","TX",27417
"Brooklyn Center ","MN",27402
"Xenia ","OH",27357
"Mason City ","IA",27337
"Frankfort ","KY",27322
"Watertown ","NY",2731
"De Land ","FL",27243
"San Carlos ","CA",27238
"Slidell ","LA",27183
"Statesboro ","GA",27158
"Maryville ","TN",27156
"Glen Ellyn","IL",27142
"Garner","NC",27138
"Auburn ","NY",27138
"West Memphis ","AR",2707
"Wake Forest","NC",27068
"American Fork ","UT",27064
"Oakdale ","MN",27034
"Anderson ","SC",27027
"Suisun City ","CA",26977
"College Park ","MD",26925
"Pullman ","WA",2692
"Matthews","NC",26901
"Glen Cove ","NY",26895
"Gillette ","WY",26871
"McHenry ","IL",26862
"Opelika ","AL",26808
"Winona ","MN",26785
"Kirkwood ","MO",2676
"Garden City ","MI",26743
"Kankakee ","IL",2671
"Melrose ","MA",26708
"Weatherford ","TX",26686
"Mount Pleasant ","MI",26675
"Lansing","IL",26672
"Eagle Pass ","TX",26668
"Harrison","NY",26665
"Norco ","CA",26659
"Inkster ","MI",26621
"Southlake ","TX",26595
"Barberton ","OH",26581
"Mount Pleasant","WI",26572
"Atwater ","CA",26565
"Imperial Beach ","CA",26543
"Thomasville ","NC",26526
"Tualatin ","OR",26476
"Paradise","CA",26469
"Belvidere ","IL",26461
"Post Falls ","ID",2646
"Shaker Heights ","OH",2646
"Corsicana ","TX",26459
"Farmers Branch ","TX",26455
"West Chicago ","IL",26454
"Nicholasville ","KY",26444
"Wilmette","IL",26418
"Statesville ","NC",26414
"Clinton ","IA",26407
"Seguin ","TX",26394
"Emporia ","KS",2638
"Clinton ","MS",26313
"Spring Valley","NY",26291
"Carbondale ","IL",26231
"Spring Hill ","TN",2623
"Jeffersontown ","KY",26226
"Superior ","WI",26223
"Wooster ","OH",26212
"Plum","PA",26198
"Benicia ","CA",26174
"Paramus","NJ",26128
"Duluth ","GA",26125
"Homer Glen","IL",26111
"Kyle ","TX",26103
"Easton ","PA",2608
"Paris ","TX",2605
"Trotwood ","OH",26039
"Allen Park ","MI",26014
"Medina ","OH",26011
"Collinsville ","IL",2596
"Maryland Heights ","MO",25949
"Winchester ","VA",25897
"New London ","CT",25891
"Fridley ","MN",25868
"Middletown ","NY",25865
"Marshalltown ","IA",2585
"SeaTac ","WA",2584
"Kaysville ","UT",2582
"Bristol ","TN",25817
"Dodge City ","KS",25689
"Sandusky ","OH",25688
"Holladay ","UT",25676
"Greenville ","TX",25676
"Ridgecrest ","CA",25638
"Carlsbad ","NM",25629
"Bergenfield","NJ",25611
"Paducah ","KY",25521
"Salem ","VA",25449
"Sanger ","CA",25447
"Leander ","TX",25424
"Harker Heights ","TX",25417
"Hastings ","NE",25394
"Windsor","CA",25362
"Enterprise ","AL",25351
"Hazelwood ","MO",25345
"Stevens Point ","WI",25327
"Riverside ","OH",25327
"Burlington ","IA",25327
"Eureka ","CA",253
"West Linn ","OR",25236
"Fountain Hills","AZ",25227
"Fremont ","NE",25224
"Fort Dodge ","IA",2518
"Zion ","IL",25161
"Corcoran ","CA",25139
"Zanesville ","OH",25129
"Shoreview ","MN",25111
"San Benito ","TX",25072
"Lafayette ","CO",25065
"Neenah ","WI",2506
"Maywood","IL",25035
"Lafayette ","CA",25011
"Westmont","IL",24979
"Vicksburg ","MS",24974
"Little Elm ","TX",24947
"San Luis ","AZ",24909
"Owatonna ","MN",24855
"University Park ","TX",24853
"Lockport ","IL",2481
"Ardmore ","OK",2481
"Paragould ","AR",248
"De Pere ","WI",24779
"Belmont ","CA",24776
"Casselberry ","FL",24759
"El Mirage ","AZ",24751
"Rockledge ","FL",24747
"Bridgeton ","NJ",24742
"Wyandotte ","MI",24739
"Kingsville ","TX",24702
"Horn Lake ","MS",24669
"Lebanon ","TN",24648
"Wasco ","CA",24628
"Freeport ","IL",24615
"Asheboro ","NC",24609
"Barstow ","CA",24596
"Belton ","MO",24591
"Edwardsville ","IL",24557
"Greer ","SC",24557
"Redmond ","OR",24551
"Sherwood ","AR",24542
"Ponca City ","OK",24507
"East Cleveland ","OH",24507
"Desert Hot Springs ","CA",24489
"Cornelius","NC",24487
"Hercules ","CA",24484
"Peekskill ","NY",24484
"Vernon Hills","IL",24462
"Aberdeen ","SD",2446
"Loves Park ","IL",24457
"South Pasadena ","CA",24446
"Colleyville ","TX",24428
"Rockville Centre","NY",24414
"Pearl ","MS",244
"Crown Point ","IN",24376
"Queen Creek","AZ",24361
"Ottumwa ","IA",24342
"Cudahy ","CA",24334
"Geneva ","IL",24302
"Big Spring ","TX",2427
"Caledonia","WI",2422
"New Castle ","PA",24212
"Starkville ","MS",24187
"Mercer Island ","WA",24163
"Ridgewood","NJ",24163
"Elizabethtown ","KY",24144
"New Lenox","IL",24137
"Seal Beach ","CA",24127
"Chaska ","MN",24116
"North Platte ","NE",24107
"Lebanon ","PA",24097
"White Bear Lake ","MN",24095
"Lemon Grove ","CA",24089
"Issaquah ","WA",24057
"Elmwood Park","IL",24052
"Grandview ","MO",24033
"Galt ","CA",24026
"Parkland ","FL",24017
"Watauga ","TX",24005
"Denison ","TX",24001
"Avon Lake ","OH",23996
"Laguna Beach ","CA",23995
"Doral ","FL",23974
"Staunton ","VA",23967
"Woodstock ","IL",2393
"Dolton","IL",23889
"Lemoore ","CA",23873
"Fairfax ","VA",23844
"Homewood ","AL",2384
"Prior Lake ","MN",23836
"San Fernando ","CA",23833
"South Portland ","ME",23803
"Marshall ","TX",23798
"Ossining","NY",23798
"Columbus ","MS",23798
"Lodi","NJ",23776
"Wentzville ","MO",23768
"Papillion ","NE",23739
"Ramsey ","MN",23734
"Walker ","MI",23722
"Griffin ","GA",23719
"Athens ","AL",23715
"West Fargo ","ND",23708
"Maple Heights ","OH",23667
"Anniston ","AL",23662
"Cabot ","AR",23614
"Pascagoula ","MS",23609
"Mequon ","WI",23584
"Newport ","RI",23523
"Champlin ","MN",23503
"Chanhassen ","MN",2348
"Rolling Meadows ","IL",23463
"Reedley ","CA",23439
"Green ","OH",23404
"Tarpon Springs ","FL",23369
"Carteret","NJ",23367
"Fitchburg ","WI",23344
"South Lake Tahoe ","CA",23333
"New Smyrna Beach ","FL",23325
"Norton Shores ","MI",23307
"Carrollton ","GA",23291
"Franklin ","IN",23258
"Muskego ","WI",23234
"Opelousas ","LA",2322
"Roselle","IL",23209
"Elk River ","MN",23194
"Auburn ","ME",23177
"Hopewell ","VA",23142
"Woodstock ","GA",23141
"Lisle","IL",23135
"Northport ","AL",23118
"Hudson ","OH",23037
"Romulus ","MI",22963
"Benbrook ","TX",22957
"Newberg ","OR",22953
"Norfolk ","NE",2294
"Watertown ","WI",2293
"Huntley","IL",22923
"Sahuarita","AZ",22913
"Centerville ","OH",22904
"Oxford ","OH",22887
"Cliffside Park","NJ",22863
"Alvin ","TX",22853
"Yukon ","OK",22849
"Kerrville ","TX",22821
"Fredericksburg ","VA",22818
"Machesney Park","IL",22815
"Selma ","CA",22807
"Austin ","MN",228
"Moscow ","ID",22798
"East Peoria ","IL",2276
"Oak Harbor ","WA",22744
"Woodburn ","OR",22728
"Brawley ","CA",22725
"Canton ","GA",22724
"Palmetto Bay","FL",22666
"Highland","IN",22641
"Coronado ","CA",22633
"South Plainfield","NJ",22623
"Temple Terrace ","FL",22619
"Duncan ","OK",22617
"Park Forest","IL",22583
"Willoughby ","OH",22561
"Van Buren ","AR",22543
"Greenwood ","SC",22533
"Derby ","KS",22517
"Muscatine ","IA",22504
"Morton Grove","IL",22478
"Alliance ","OH",22476
"Kingston ","NY",22441
"Keene ","NH",22407
"Kernersville","NC",22392
"Darien ","IL",2237
"Key West ","FL",22364
"Kinston ","NC",2236
"Webster Groves ","MO",22335
"Laurel ","MD",22329
"Blue Island ","IL",22325
"Eagle Mountain ","UT",22309
"Searcy ","AR",22299
"Chillicothe ","OH",22296
"Agoura Hills ","CA",22283
"Garden City","NY",22275
"El Cerrito ","CA",22222
"Villa Park","IL",22198
"Syracuse ","UT",22195
"Calabasas ","CA",22185
"Brandon ","MS",2216
"McKeesport ","PA",2213
"Hastings ","MN",22126
"Leesburg ","FL",22113
"Munster","IN",22105
"Athens ","OH",22088
"Del City ","OK",22067
"Herndon","VA",22045
"Radcliff ","KY",22013
"Faribault ","MN",22009
"Lumberton ","NC",22006
"Troy ","OH",21975
"Mooresville","NC",21954
"Waynesboro ","VA",21953
"Bainbridge Island ","WA",2189
"Clarksville","IN",21873
"Solon ","OH",21866
"Melrose Park","IL",21853
"Ashland ","OH",2185
"Bloomingdale","IL",21848
"Libertyville","IL",21843
"Duarte ","CA",21839
"Kiryas Joel","NY",21793
"Mauldin ","SC",21784
"Havelock ","NC",21764
"Grayslake","IL",21735
"Hazleton ","PA",21732
"Miami Lakes","FL",21727
"Blythe ","CA",21727
"Forest Park ","GA",21726
"Mount Juliet ","TN",21718
"Charleston ","IL",21715
"Crystal ","MN",21707
"Independence ","KY",21694
"Jacksonville Beach ","FL",21673
"Johnstown ","PA",21641
"South Salt Lake ","UT",21607
"Loma Linda ","CA",21601
"Columbus ","NE",21595
"Georgetown ","KY",21589
"New Brighton ","MN",21563
"Naples ","FL",21532
"Ridgeland ","MS",21509
"Prairie Village ","KS",21479
"Port Hueneme ","CA",21478
"Ypsilanti ","MI",21464
"Shelby ","NC",21449
"Biddeford ","ME",21435
"Edgewater ","FL",21415
"South El Monte ","CA",21397
"Adrian ","MI",21391
"Ashland ","OR",2139
"Monroe ","MI",21374
"Ashland ","KY",21346
"Plainview ","TX",21334
"Pottstown","PA",21288
"Pelham ","AL",21266
"South Euclid ","OH",21209
"Rosemount ","MN",21197
"Kalispell ","MT",21182
"La Porte ","IN",21174
"Sapulpa ","OK",21173
"Westfield","IN",21171
"North Plainfield","NJ",21143
"South Elgin","IL",21131
"South Milwaukee ","WI",21129
"Ruston ","LA",21123
"Ferndale ","MI",21112
"Greenbelt ","MD",21098
"South Holland","IL",21083
"Mountain Brook ","AL",21061
"Lake Forest ","IL",2099
"Sedalia ","MO",2099
"Forest Grove ","OR",20985
"Ferguson ","MO",20964
"Venice ","FL",20946
"Auburn Hills ","MI",20931
"Marquette ","MI",20916
"East Moline ","IL",20892
"Holly Springs","NC",2087
"Millbrae ","CA",208
"Florence","AZ",20781
"Corinth ","TX",20773
"Mukilteo ","WA",20742
"North Augusta ","SC",20712
"Milwaukie ","OR",20707
"Milledgeville ","GA",20703
"Wadsworth ","OH",20696
"Gardner ","MA",20682
"Roseburg ","OR",20681
"Bixby ","OK",20678
"La Ca�ada Flintridge ","CA",20671
"Junction City ","KS",20671
"West Mifflin","PA",20669
"Lockport ","NY",2063
"Oxford ","AL",20622
"Lake Zurich","IL",2061
"Riverbank ","CA",20606
"Arnold ","MO",20603
"Roselle","NJ",20599
"Piqua ","OH",20582
"Summit ","NJ",20557
"Lebanon ","OH",20535
"Hamtramck ","MI",20512
"Cumberland ","MD",20495
"Watertown ","SD",20488
"Crest Hill ","IL",20451
"Portsmouth ","NH",20443
"New Hope ","MN",20428
"Lexington ","NC",20407
"Yucca Valley","CA",20375
"Kenmore ","WA",20374
"Mint Hill","NC",20369
"Hays ","KS",20368
"Farragut","TN",2035
"Golden Valley ","MN",20344
"Norwood ","OH",20341
"Dinuba ","CA",20335
"Easley ","SC",20325
"Oakdale ","CA",20299
"Portsmouth ","OH",20297
"Saginaw ","TX",20295
"Klamath Falls ","OR",20276
"Sebastian ","FL",20265
"Rock Springs ","WY",202
"Lino Lakes ","MN",20174
"Lomita ","CA",20156
"Point Pleasant","NJ",20139
"Bensenville","IL",20138
"Snellville ","GA",20112
"Liberal ","KS",20074
"Elizabeth City ","NC",20025
"Balch Springs ","TX",20003
"Brownsburg","IN",19994
"Gallup ","NM",19979
"College Park ","GA",19969
"Sidney ","OH",19944
"Maple Valley ","WA",19929
"Mountlake Terrace ","WA",19912
"El Dorado ","AR",19905
"Brookings ","SD",19865
"Clinton ","UT",19855
"Lynbrook","NY",19852
"Pleasant Prairie","WI",19847
"Hammond ","LA",19803
"Alice ","TX",19797
"Albertville ","AL",19794
"Miamisburg ","OH",19793
"McDonough ","GA",19768
"Parma Heights ","OH",19757
"Glassboro","NJ",19751
"Macomb ","IL",19736
"Bethany ","OK",19729
"Tinton Falls","NJ",19703
"Ashtabula ","OH",19689
"Fountain ","CO",19669
"Shelbyville ","TN",19669
"Deerfield","IL",19667
"Pittsburg ","KS",19649
"East Ridge ","TN",19642
"Northfield ","MN",19633
"Hialeah Gardens ","FL",19631
"Germantown","WI",19594
"Nogales ","AZ",19573
"Cary","IL",19559
"South St. Paul ","MN",19552
"Stafford ","TX",19541
"Terrell ","TX",19527
"Eastlake ","OH",1952
"Ennis ","TX",19506
"Orange ","TX",19494
"Murrysville","PA",19488
"Christiansburg","VA",19477
"Acworth ","GA",19476
"Eagle ","ID",19471
"Sulphur ","LA",1945
"Crestview ","FL",19444
"Ottawa ","IL",19419
"Jacksonville ","IL",19415
"Plattsburgh ","NY",19393
"Palisades Park","NJ",19375
"Evergreen Park","IL",19359
"Hermosa Beach ","CA",1935
"Thomasville ","GA",19286
"Niles ","OH",19268
"Morristown","NJ",19268
"Mokena","IL",19236
"Seymour ","IN",19223
"Brook Park ","OH",19194
"Chowchilla ","CA",19193
"Sylvania ","OH",19185
"Brownwood ","TX",1914
"Louisville ","CO",19133
"Eustis ","FL",19129
"Mineola","NY",19108
"Madisonville ","KY",19106
"Daphne ","AL",19093
"Farmington ","MN",19057
"Haines City ","FL",19056
"Wilsonville ","OR",19055
"Patterson ","CA",19034
"Warrensburg ","MO",19034
"Bourbonnais","IL",19024
"Fairmont ","WV",19024
"Cartersville ","GA",1901
"Seminole ","FL",19002
"Decatur ","GA",18986
"Trussville ","AL",18985
"Port Angeles ","WA",18982
"Indian Trail","NC",18976
"Coalinga ","CA",18974
"Bellwood","IL",18973
"West St. Paul ","MN",18935
"Birmingham ","MI",18932
"Oregon ","OH",18921
"Altus ","OK",18912
"Rocky River ","OH",189
"Fort Walton Beach ","FL",1888
"Pleasantville ","NJ",18853
"Selma ","AL",18847
"Evans ","CO",18842
"Nixa ","MO",18829
"Steubenville ","OH",1882
"Cudahy ","WI",18809
"Pinole ","CA",18808
"Moses Lake ","WA",188
"Greenfield ","IN",18787
"Weirton ","WV",18748
"Brigham City ","UT",18709
"St. Matthews ","KY",18709
"Laurel ","MS",18693
"Alsip","IL",18692
"Sachse ","TX",18688
"Central Falls ","RI",18683
"Logansport ","IN",18663
"Elmwood Park","NJ",18634
"Pinecrest","FL",18614
"Angleton ","TX",18613
"Tullahoma ","TN",18579
"Manchester ","MO",18569
"Baldwin","PA",18562
"Shelbyville ","IN",18516
"Forest Park ","OH",18514
"Ansonia ","CT",18503
"Sand Springs ","OK",18489
"Coralville ","IA",18478
"Homewood","IL",18475
"Painesville ","OH",18474
"Orinda ","CA",18445
"Hinsdale","IL",18439
"Rolla ","MO",18438
"Cortland ","NY",18434
"Mamaroneck","NY",18413
"Palestine ","TX",1839
"McAlester ","OK",18388
"Carlisle","PA",18379
"Universal City ","TX",18376
"New Castle ","IN",18339
"West Chester","PA",18315
"Chambersburg","PA",18302
"Augusta ","ME",18282
"Marshfield ","WI",18267
"Natchitoches ","LA",18241
"Marysville ","OH",18212
"Columbia Heights ","MN",1821
"Bellaire ","TX",18197
"Whitehall ","OH",1818
"Laguna Woods ","CA",1817
"Carrboro","NC",18162
"Newton ","KS",18133
"Saco ","ME",18125
"Covington ","WA",18115
"Ozark ","MO",18095
"Mandan ","ND",18091
"Brookfield","IL",18077
"Windsor","CO",18058
"Clarksdale ","MS",18006
"Hawthorne","NJ",17997
"Montrose ","CO",17989
"Berea ","OH",17987
"Frankfort","IL",17981
"Vincennes ","IN",17976
"Franklin Park","IL",17965
"Trenton ","MI",17965
"Hazel Park ","MI",17955
"Camas ","WA",1795
"Marina ","CA",17943
"Stillwater ","MN",17896
"Bay City ","TX",17891
"Lenoir ","NC",1789
"Dickinson ","TX",17886
"Belton ","TX",17876
"Dover","NJ",1786
"Willmar ","MN",17774
"Colonial Heights ","VA",17768
"Mayfield Heights ","OH",17737
"Mustang ","OK",17727
"Washington ","UT",17716
"Raymore ","MO",17703
"Takoma Park ","MD",17701
"Scarsdale","NY",17695
"Herriman ","UT",17689
"Westminster ","MD",17689
"North Ogden ","UT",17682
"Madison ","MS",17681
"Sycamore ","IL",17679
"Lackawanna ","NY",17588
"New Port Richey ","FL",17578
"South Burlington ","VT",17574
"Springboro ","OH",17551
"Newburyport ","MA",17542
"Amsterdam ","NY",17533
"Pickerington ","OH",17531
"Godfrey","IL",17524
"Wilkinsburg","PA",17522
"Douglas ","AZ",17515
"Converse ","TX",1751
"Dublin ","GA",17509
"Lindenwold","NJ",17485
"Gardner ","KS",17462
"Claremore ","OK",17458
"Rutherford","NJ",17454
"Hannibal ","MO",17432
"Payson ","UT",17429
"Bristol ","VA",17424
"Matteson","IL",1742
"Dixon ","CA",17412
"Twinsburg ","OH",17394
"Albert Lea ","MN",17389
"Marion ","IL",17388
"Massapequa Park","NY",17385
"Pampa ","TX",17382
"Sherwood ","OR",17373
"Forest Lake ","MN",17373
"Kirksville ","MO",17368
"Oswego ","NY",17351
"Tiffin ","OH",17347
"Susanville ","CA",17336
"Golden ","CO",17321
"New Philadelphia ","OH",17319
"Tallmadge ","OH",17293
"Anoka ","MN",17289
"Tifton ","GA",17284
"Broadview Heights ","OH",17274
"Oxford ","MS",17265
"Springfield ","TN",17261
"Ashwaubenon","WI",17235
"Clemmons","NC",17234
"Farmington ","UT",17217
"Sugar Hill ","GA",17204
"Lathrop ","CA",17197
"Sheridan ","WY",17197
"Morganton ","NC",17194
"Erlanger ","KY",17188
"Wayne ","MI",17186
"Arroyo Grande ","CA",1718
"Mattoon ","IL",17177
"Wisconsin Rapids ","WI",17164
"Santa Fe Springs ","CA",17159
"Elko ","NV",17156
"Ocean Springs ","MS",17149
"Avenal ","CA",17147
"Fairhope ","AL",17147
"Simpsonville ","SC",17144
"Ellensburg ","WA",17141
"Dyersburg ","TN",17126
"Poplar Bluff ","MO",17096
"Donna ","TX",17094
"Tukwila ","WA",17092
"Safety Harbor ","FL",17089
"Avon ","OH",17086
"Goodlettsville ","TN",17075
"Laconia ","NH",17065
"Chickasha ","OK",17062
"Monroe ","WA",17059
"Sikeston ","MO",17053
"Moraga","CA",1705
"Perrysburg ","OH",17049
"Arcata ","CA",17044
"Martinsburg ","WV",1702
"Fuquay-Varina","NC",17002
"Vero Beach ","FL",16982
"Dumont","NJ",16968
"Union City ","GA",16961
"Hopkins ","MN",16961
"Talladega ","AL",16943
"North Canton ","OH",16925
"Palos Hills ","IL",16924
"Stephenville ","TX",16921
"Bartow ","FL",16919
"Mill Creek ","WA",16907
"Mineral Wells ","TX",1688
"Creve Coeur ","MO",16868
"Sevierville ","TN",16846
"Beckley ","WV",16832
"Battle Ground ","WA",16812
"Arlington ","WA",1681
"Bonney Lake ","WA",16809
"Anacortes ","WA",16798
"Mount Clemens ","MI",16781
"Onalaska ","WI",16778
"St. Marys ","GA",16763
"Howard","WI",16753
"Round Lake","IL",16748
"Rutland ","VT",16742
"Highland Village ","TX",16737
"Ada ","OK",16729
"Country Club Hills ","IL",16723
"Grandville ","MI",16718
"Rancho Mirage ","CA",16714
"Belle Glade ","FL",16681
"Fremont ","OH",16655
"Fairview Heights ","IL",16643
"La Vista ","NE",16643
"Shively ","KY",16641
"Millbrook ","AL",1664
"Norwalk ","OH",16637
"Menasha ","WI",16627
"Tahlequah ","OK",16623
"Alamo ","TX",16608
"Winchester ","KY",16598
"Murray ","KY",16557
"Asbury Park ","NJ",16546
"El Reno ","OK",16545
"Westbrook ","ME",16534
"Americus ","GA",16524
"Huntington ","IN",16521
"Yorkville ","IL",16505
"Central Point ","OR",16503
"Portland ","TX",1649
"Cocoa ","FL",16478
"Midlothian ","TX",16478
"Gainesville ","TX",16452
"Durant ","OK",1645
"Mesquite ","NV",16444
"Palm Springs","FL",16442
"Clarksburg ","WV",16441
"Erie","CO",16432
"Durango ","CO",16416
"Natchez ","MS",16413
"Roanoke Rapids ","NC",16403
"Gretna ","LA",16399
"Frankfort ","IN",16394
"Bella Vista","AR",16388
"Phoenixville","PA",16382
"Pendleton ","OR",1638
"South Houston ","TX",16351
"Punta Gorda ","FL",16343
"Hermitage ","PA",16327
"Sunny Isles Beach ","FL",16317
"American Canyon ","CA",16315
"Griffith","IN",16311
"Gautier ","MS",16306
"DeBary ","FL",16303
"White Settlement ","TX",16301
"Mount Vernon ","IL",16298
"Suwanee ","GA",16277
"Brunswick ","GA",16269
"Artesia ","CA",16244
"Middleton ","WI",16244
"El Segundo ","CA",16217
"Hibbing ","MN",16209
"Maumelle ","AR",16201
"Easthampton ","MA",16195
"Highland ","UT",16189
"Truckee","CA",16185
"Lemont","IL",16176
"Uvalde ","TX",16142
